2026-06-12T11:21:48.106236779Z time="2026-06-12T11:21:48Z" level=info msg="start to tear down VLAN network"
2026-06-12T11:21:48.106253000Z time="2026-06-12T11:21:48Z" level=info msg="cnet-111938-bo set no master"
2026-06-12T11:21:48.168811537Z time="2026-06-12T11:21:48Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:48.169052963Z time="2026-06-12T11:21:48Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.179014363Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:48.179323383Z time="2026-06-12T11:21:48Z" level=info msg="vlan config hp-150-tink-system has been removed"
2026-06-12T11:21:48.270000050Z time="2026-06-12T11:21:48Z" level=info msg="Setting NIC eno50 to UP state (current: down)"
2026-06-12T11:21:48.270402718Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 is not set on this node, skip"
2026-06-12T11:21:48.371671467Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:48.592170984Z time="2026-06-12T11:21:48Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.603092736Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 is not set on this node, skip"
2026-06-12T11:21:48.603535786Z time="2026-06-12T11:21:48Z" level=error msg="error syncing 'nic': handler harvester-network-link-monitor-controller: synchronize links to link monitor nic failed, error: results may be incomplete or inconsistent, requeuing"
2026-06-12T11:21:48.603541922Z time="2026-06-12T11:21:48Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:48.617104470Z time="2026-06-12T11:21:48Z" level=info msg="tear down VLAN network successfully"
2026-06-12T11:21:48.668860341Z time="2026-06-12T11:21:48Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.869510783Z time="2026-06-12T11:21:48Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:48.880195970Z time="2026-06-12T11:21:48Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.969134214Z time="2026-06-12T11:21:48Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:48.985224595Z time="2026-06-12T11:21:48Z" level=error msg="error syncing 'hp-117-tink-system': handler harvester-network-vlanconfig-controller: update status into vlanstatus cnet-111938-hp-117-tink-system-5acf392e failed, error: failed to delete vlanstatus cnet-111938-hp-117-tink-system-5acf392e, error: vlanstatuses.network.harvesterhci.io \"cnet-111938-hp-117-tink-system-5acf392e\" not found, teardown error: <nil>, requeuing"
2026-06-12T11:21:48.986104390Z time="2026-06-12T11:21:48Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:49.181472660Z time="2026-06-12T11:21:49Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:49.181716338Z time="2026-06-12T11:21:49Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:49.181936651Z time="2026-06-12T11:21:49Z" level=info msg="cluster network cnet-111938 is not set on this node, skip"
2026-06-12T11:21:49.182020445Z time="2026-06-12T11:21:49Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:49.279736012Z time="2026-06-12T11:21:49Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:49.868294127Z time="2026-06-12T11:21:49Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:22:08.264313599Z time="2026-06-12T11:22:08Z" level=info msg="link monitor cnet-111938 has been removed"
2026-06-12T11:26:13.763256505Z time="2026-06-12T11:26:13Z" level=info msg="cluster network cnet-eno50 has been changed, vid hash: "
2026-06-12T11:26:13.763357303Z time="2026-06-12T11:26:13Z" level=info msg="cluster network cnet-eno50 is not set on this node, skip"
2026-06-12T11:26:13.777519045Z time="2026-06-12T11:26:13Z" level=info msg="cluster network cnet-eno50 has been changed, vid hash: "
2026-06-12T11:26:13.777588362Z time="2026-06-12T11:26:13Z" level=info msg="cluster network cnet-eno50 is not set on this node, skip"
2026-06-12T11:26:13.800319222Z time="2026-06-12T11:26:13Z" level=info msg="vlan config cnet-eno50 has been changed, spec: {Description: ClusterNetwork:cnet-eno50 NodeSelector:map[] Uplink:{NICs:[eno50] LinkAttrs:0x25afe5d2f140 BondOptions:0x25afe38371b8}}"
2026-06-12T11:26:13.800336851Z time="2026-06-12T11:26:13Z" level=info msg="vc cnet-eno50 matchedNodes: [hp-117-tink-system hp-150-tink-system hp-69-tink-system], include this node: hp-117-tink-system"
2026-06-12T11:26:13.807199843Z time="2026-06-12T11:26:13Z" level=info msg="cluster network cnet-eno50 has been changed, vid hash: "
2026-06-12T11:26:13.878940574Z time="2026-06-12T11:26:13Z" level=info msg="cluster network cnet-eno50 is not set on this node, skip"
2026-06-12T11:26:13.878957271Z time="2026-06-12T11:26:13Z" level=info msg="cluster network cnet-eno50 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:26:13.879019795Z time="2026-06-12T11:26:13Z" level=info msg="cluster network cnet-eno50 is not set on this node, skip"
2026-06-12T11:26:13.883895534Z time="2026-06-12T11:26:13Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:26:14.113215170Z time="2026-06-12T11:26:14Z" level=error msg="error syncing 'nic': handler harvester-network-link-monitor-controller: synchronize links to link monitor nic failed, error: results may be incomplete or inconsistent, requeuing"
2026-06-12T11:26:14.125752623Z time="2026-06-12T11:26:14Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:26:14.130802862Z time="2026-06-12T11:26:14Z" level=info msg="vlan config cnet-eno50 has been changed, spec: {Description: ClusterNetwork:cnet-eno50 NodeSelector:map[] Uplink:{NICs:[eno50] LinkAttrs:0x25afe3bef260 BondOptions:0x25afe7b08828}}"
2026-06-12T11:26:14.130828102Z time="2026-06-12T11:26:14Z" level=info msg="vc cnet-eno50 matchedNodes: [hp-117-tink-system hp-150-tink-system hp-69-tink-system], include this node: hp-117-tink-system"
2026-06-12T11:26:14.133809833Z time="2026-06-12T11:26:14Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:26:14.280786844Z time="2026-06-12T11:26:14Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:26:14.379543502Z time="2026-06-12T11:26:14Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:26:14.381648811Z time="2026-06-12T11:26:14Z" level=info msg="cluster network cnet-eno50 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:26:14.480170554Z time="2026-06-12T11:26:14Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:26:14.581830800Z time="2026-06-12T11:26:14Z" level=info msg="cluster network cnet-eno50 will add 1 vlans, remove 0 vlans"
2026-06-12T11:26:14.678508670Z time="2026-06-12T11:26:14Z" level=info msg="cluster network cnet-eno50 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
