Jun 12 11:06:04.398423 hp-150-tink-system NetworkManager[2120]: <info>  [1781262364.3983] manager: (cali7fa1b112515): new Veth device (/org/freedesktop/NetworkManager/Devices/39)
Jun 12 11:06:04.399046 hp-150-tink-system NetworkManager[2120]: <info>  [1781262364.3990] device (cali7fa1b112515): carrier: link connected
Jun 12 11:09:42.116964 hp-150-tink-system NetworkManager[2120]: <info>  [1781262582.1169] manager: (cali13dc1da4e0f): new Veth device (/org/freedesktop/NetworkManager/Devices/40)
Jun 12 11:09:42.117559 hp-150-tink-system NetworkManager[2120]: <info>  [1781262582.1175] device (cali13dc1da4e0f): carrier: link connected
Jun 12 11:13:28.426587 hp-150-tink-system NetworkManager[2120]: <info>  [1781262808.4265] manager: (cali60dce2eff7c): new Veth device (/org/freedesktop/NetworkManager/Devices/41)
Jun 12 11:13:28.427164 hp-150-tink-system NetworkManager[2120]: <info>  [1781262808.4271] device (cali60dce2eff7c): carrier: link connected
Jun 12 11:17:28.996862 hp-150-tink-system NetworkManager[2120]: <info>  [1781263048.9968] manager: (calif7a1f0c0019): new Veth device (/org/freedesktop/NetworkManager/Devices/42)
Jun 12 11:17:28.998489 hp-150-tink-system NetworkManager[2120]: <info>  [1781263048.9984] device (calif7a1f0c0019): carrier: link connected
Jun 12 11:20:00.819057 hp-150-tink-system NetworkManager[2120]: <info>  [1781263200.8190] manager: (cali679b85e2a2d): new Veth device (/org/freedesktop/NetworkManager/Devices/43)
Jun 12 11:20:00.819600 hp-150-tink-system NetworkManager[2120]: <info>  [1781263200.8195] device (cali679b85e2a2d): carrier: link connected
Jun 12 11:21:24.707153 hp-150-tink-system NetworkManager[2120]: <info>  [1781263284.7071] manager: (cnet-111938-bo): new Bond device (/org/freedesktop/NetworkManager/Devices/44)
Jun 12 11:21:24.913816 hp-150-tink-system NetworkManager[2120]: <info>  [1781263284.9137] manager: (cnet-111938-br): new Bridge device (/org/freedesktop/NetworkManager/Devices/45)
Jun 12 11:21:24.916159 hp-150-tink-system NetworkManager[2120]: <info>  [1781263284.9161] device (cnet-111938-bo): state change: unmanaged -> unavailable (reason 'connection-assumed', managed-type: 'external')
Jun 12 11:21:24.916593 hp-150-tink-system NetworkManager[2120]: <info>  [1781263284.9165] device (cnet-111938-bo): state change: unavailable -> disconnected (reason 'connection-assumed', managed-type: 'external')
Jun 12 11:21:24.917461 hp-150-tink-system NetworkManager[2120]: <info>  [1781263284.9174] device (cnet-111938-bo): Activation: starting connection 'cnet-111938-bo' (424c7428-d229-4697-9003-aad2360bf40d)
